date,Positivity Rate,7 day rolling average
2021-01-13,0.3105590062111801,
2021-01-21,0.3703703703703704,
2021-01-27,0.1404494382022472,
2021-01-28,0.2044989775051125,
2021-01-29,0.33333333333333337,
2021-02-01,0.0630119722747322,
2021-02-08,0.1444043321299639,0.2238039185752771
2021-02-15,0.06858710562414265,0.18923650420570032
2021-02-17,0.3683241252302026,0.1889441834713906
2021-02-18,0.5934718100890208,0.2536616651695011
2021-02-22,0.2857142857142857,0.26526385205652586
2021-02-25,0.49504950495049505,0.28836616228754897
2021-02-26,0.4514672686230248,0.3438597760515908
2021-03-01,0.4332129963898917,0.38511815666015187
2021-03-03,1.0438413361169103,0.5244401895876901
2021-03-04,0.8670520231213872,0.5956870321435737
2021-03-05,0.2352941176470588,0.5445187903661505
2021-03-08,0.12468827930174563,0.521515075164359
2021-03-10,1.0736196319018405,0.6041679504431227
2021-03-11,0.2364066193853428,0.5734450005520253
2021-03-12,0.5434782608695652,0.5891971811919786
2021-03-15,0.3067484662576687,0.48389819978351556
2021-03-17,1.1128775834658187,0.5190161369755771
2021-03-18,3.4682080924855487,0.9808609905239329
2021-03-19,0.79155672823219,1.0761279117997107
2021-03-20,1.4072119613016711,1.1237839588568292
2021-03-22,2.046929605591613,1.3824300997434393
2021-03-24,3.341687552213868,1.782174284221197
2021-03-25,2.8547439126784218,2.146173633709876
2021-03-26,2.9783393501805056,2.4126681718119736
2021-03-27,6.049290515309933,2.7813942322154577
2021-03-29,3.5549703752468726,3.176167610360412
2021-03-31,3.614457831325301,3.491488448935216
2021-04-01,3.486750348675035,3.6971771265185622
2021-04-07,4.410307234886026,3.8498370811860134
2021-04-08,4.473850031505986,4.081137955304237
2021-04-15,16.818181818181817,6.058258307875852
2021-04-17,4.642593957258659,5.85730165672567
2021-04-19,4.333333333333334,5.968496365023737
2021-04-20,2.0761245674740483,5.748734470187843
2021-04-21,2.74079874706343,5.642169955671899
2021-04-22,1.4649681528662422,5.221407229669074
2021-04-23,2.629346904156064,4.957906782904799
2021-04-24,1.520912547528517,2.7725826013828994
2021-04-26,1.021355617455896,2.255262838553933
2021-04-27,0.9765625,1.7757241480777424
2021-04-28,0.9523809523809524,1.615189345921586
2021-04-29,0.6279434850863422,1.313352879924859
2021-04-30,1.4157014157014158,1.3063147746155983
2021-05-03,1.0157618213660247,1.0758026199313069
2021-05-04,1.1185682326621924,1.018324860664689
2021-05-05,0.19723865877712032,0.9005938665677212
2021-05-06,0.24916943521594684,0.7966805715985706
2021-05-07,0.20161290322580644,0.6894279931478355
2021-05-10,0.4966403739409875,0.6706704058413564
2021-05-11,0.56657223796034,0.5493662375926311
